"id","lat","long"
3093,39.40236,47.12064
4082,109.14559,11.89045
960,4.96363,52.23467
972,5.30107,52.21316
2532,4.16792,51.03708
3612,66.96124,24.8217
3545,52.65629,36.71635
6876,-71.15259,9.94315
6425,-66.86093,45.05502
5829,19.41572,45.23903
1653,-2.75004,59.15664
5454,122.93192,10.68094
5742,16.90109,48.14173
2570,9.16928,49.23049
1940,2.2421,41.4346
3768,117.3746,-8.46217
5494,126.45161,33.5003
6795,-62.2737,-38.79203
6658,-40.31372,-20.32306
6483,-68.13013,49.24223
5864,166.88983,-22.35242
7175,-61.59131,16.27016
5994,-122.50584,47.62003
1920,-8.84434,42.12238
5767,18.92697,46.18693
6873,-71.61978,10.49937
3770,120.40859,-4.54561
2830,14.54283,45.30294
3747,105.75527,-5.8708
961,5.45601,52.87159
2142,28.87902,40.9733
5600,-14.8268,66.0217
5807,49.92161,40.33065
2954,33.59886,44.49873
2971,47.80754,52.02487
5435,120.93429,13.50753
6896,-79.56777,8.95606
2894,28.1621,43.4014
3461,48.17549,13.98427
3772,116.80403,-1.27431
2423,-3.90995,57.75436
979,5.58113,52.89891
5047,16.84707,68.34288
3993,153.56849,-28.87508
5081,13.53438,68.07496
5384,17.9677,59.3532
2462,-6.23863,55.20796
2506,-6.96914,52.24504
6648,-48.60734,-26.45769
5471,127.34253,34.4828
1570,-0.83941,60.75892
97,-76.5588,39.25073
3071,19.90375,54.63378
1525,7.36624,53.7228
1405,10.89143,49.89623
3381,12.40057,-5.99995
3753,95.30857,5.58039
3587,56.28193,27.17241
3563,50.14423,30.05863
3550,49.06788,30.42356
3528,54.49959,26.59474
3559,50.9079,28.8211
2590,11.492,54.83855
2164,27.9638,40.3566
2121,27.91224,40.38194
1787,5.7557,43.13285
6845,-75.70674,20.91949
2386,-2.52199,57.67051
3668,100.97932,13.49422
3786,123.4971,-1.5904
3684,100.59372,13.54396
2338,-5.67149,54.66466
5520,126.33287,36.50256
3150,35.94093,35.20498
3745,114.56441,-3.31131
2846,13.8685,44.8195
3321,-16.57135,13.44636
3903,153.13815,-27.05165
2507,-9.46054,51.68068
3688,114.3845,-8.20132
2879,19.07624,42.09776
5920,-68.22536,44.40067
6261,-68.20424,44.39286
6828,-74.50287,20.35215
6957,-71.08854,18.20845
1966,-8.19525,43.46965
2160,27.47185,40.89835
6095,-158.11574,21.32521
98,2.17599,41.3459
6192,-79.59469,42.34354
3196,25.09595,31.75542
1482,4.54108,51.83324
1743,-1.26007,49.67117
5014,5.81477,51.06002
2580,13.032,54.43399
99,16.8583,41.1361
7187,16.29179,41.32711
1577,-7.40031,57.0086
6611,-97.20319,20.7262
6606,-104.68134,19.19708
7027,-73.88441,7.06498
6940,-77.02715,-12.15417
6991,-74.77326,11.00795
2444,-7.40807,57.00238
2721,-9.08185,38.65231
1637,-0.39401,53.70018
3888,115.48091,-20.8067
1561,-3.21252,54.1007
1551,-3.26367,51.3965
3838,146.38142,-38.71257
7103,-58.61705,6.40366
3124,32.2341,41.68488
3580,55.27047,26.66112
7189,7.58875,47.56086
7008,-61.7343,15.99525
5839,94.729,16.77946
6982,-62.71861,17.28893
1722,9.45477,42.6975
1209,3.70983,51.51747
6915,-82.21052,9.34663
3357,9.73505,1.82836
5392,121.03612,13.75275
3880,150.18311,-35.70991
1163,5.63124,51.82081
5410,124.78481,10.32639
6351,-91.19382,30.45817
5283,29.73386,70.63522
526,24.78311,37.85687
943,4.12895,51.70509
3776,103.99431,1.17195
3699,116.00939,-3.44061
3145,41.65107,41.65215
3710,122.60167,-5.45235
5875,50.26383,44.5834
6455,-52.81057,47.31311
6368,-83.89409,43.59484
6113,-80.13425,25.88319
5441,124.79401,10.67327
1771,-1.47406,43.49364
6313,-88.25838,30.40072
6934,-81.05228,-5.79523
6399,-67.14243,45.16034
4032,174.76508,-36.82089
4212,122.06124,40.27833
3963,151.29269,-33.65219
6270,-73.98729,41.50601
2292,-1.62766,55.54941
5963,-76.66722,34.71657
1826,7.3372,43.70772
6369,-94.07912,30.07716
5965,-85.51511,45.74343
6390,-72.37661,46.40332
2916,23.96071,43.74828
7111,-64.53365,18.44639
2517,3.33195,51.13778
1339,9.41799,53.87818
4108,109.06373,21.47948
3411,34.83359,-19.81416
100,35.53567,33.9137
3244,5.09514,36.75171
3223,11.04917,35.62344
5667,24.66514,59.45349
1509,9.46725,53.92866
3706,98.70974,3.79365
3654,74.26589,14.71285
6690,-48.49744,-1.43176
101,-5.89831,54.6175
5933,-69.00712,44.43014
2922,30.37853,46.18202
7001,-88.18418,17.49155
7113,-88.19603,17.47182
3950,146.86113,-41.13836
6395,-128.1406,52.16239
6494,-128.14121,52.13883
6411,-126.79549,52.3764
6161,-79.88283,40.12866
6441,-65.84192,47.91166
6532,-77.38204,44.1552
6286,-122.50944,48.7444
1706,-0.9689,60.683
3022,34.79278,64.52563
1198,6.05614,52.67075
1018,6.08649,52.69197
1424,7.56151,50.41681
1248,5.51849,51.88702
1132,4.25641,51.62615
3750,116.7473,-8.8929
3184,20.03664,32.0998
3371,13.38599,-12.58625
3224,10.79724,36.45311
3241,-1.39117,35.30598
1857,0.43421,40.41322
6281,-122.1351,38.04086
581,19.91509,39.54578
3777,115.21289,-8.74608
1841,-4.10803,47.86906
1281,7.57153,53.67834
4995,140.0917,41.42086
5927,-86.48509,42.11311
4284,133.04436,36.10816
4689,131.5059,33.3019
7068,-61.23916,13.01053
3419,44.9945,10.4396
2949,36.7739,46.7475
2504,-9.8223,51.6362
3169,35.49186,23.93982
2202,11.74779,58.00284
102,5.30322,60.3921
1229,4.26803,51.49756
2557,7.60704,52.2754
5086,19.36207,69.23824
3536,61.1746,25.14885
103,29.1083,70.8601
2584,13.40442,52.51672
3956,150.07242,-36.42532
1939,-2.71379,43.41966
2345,-7.16469,57.71602
1267,7.0699,49.91233
1793,5.1588,43.45751
6026,-91.21547,29.69467
5244,10.6657,59.9161
1065,4.66683,52.4671
3631,69.09286,22.45232
3613,66.96529,24.81834
3748,136.07583,-1.1862
2834,15.28057,44.07058
3997,115.76359,-32.0259
1085,5.68492,52.45528
7125,-88.40406,16.51196
2882,18.70423,42.35464
4883,140.60393,43.30046
1881,-3.03852,43.35705
5549,-23.59712,65.68415
3940,151.30445,-33.64208
3707,118.71175,-8.44438
3985,136.3897,-15.62759
1761,-2.82119,48.60093
5720,113.04048,3.22088
5002,5.86575,53.28985
2274,-0.83161,50.80386
1645,-2.96584,51.55827
3732,119.4832,-4.8173
3863,153.21935,-27.48332
2397,-3.01374,53.40405
5850,7.64102,47.55567
1260,8.33518,49.99911
5866,-15.57546,11.85792
3711,125.16637,1.43733
3210,9.86401,37.26008
5362,11.52423,58.05316
2272,-3.51984,56.00581
6429,-66.80072,45.05338
6078,-122.76393,48.99132
2650,-0.29442,49.22651
6516,-57.14784,51.41475
1038,6.07255,52.69431
2571,10.73522,53.29879
1470,4.55275,52.00306
6127,-71.55605,41.17453
936,5.96142,52.72631
5584,-20.29925,65.66919
6989,-83.75761,12.01193
4045,168.3399,-46.59619
1333,8.58164,53.17506
3905,147.25796,-43.12638
1667,-1.50807,55.13192
6948,-69.62206,18.43529
6550,-96.10381,19.10027
6914,-82.23831,9.33747
1370,9.61473,54.83177
5043,14.38336,67.2887
2095,27.42805,37.02487
2614,10.08111,55.10566
5239,16.07504,68.22566
2611,12.05063,54.91202
2245,11.34386,58.35162
2568,10.7057,53.37524
2242,11.53321,58.30104
2800,16.65627,43.26059
5880,-15.47067,11.57873
6309,-94.77099,29.38329
6249,-90.4912,29.61207
2993,132.333,43.1234
1074,5.52167,53.06144
5550,-23.24146,66.15696
3379,13.0487,-5.85918
4000,153.15489,-27.07373
5490,128.56933,38.25032
1795,9.15562,41.38944
1288,7.10909,50.73598
1830,2.47709,48.78509
2647,1.56807,49.03573
3348,7.13769,4.41936
3331,-12.49987,7.52684
1192,4.95078,52.25267
3921,151.34664,-33.51003
1188,5.74746,52.95862
1276,7.58874,50.23331
5442,121.93891,11.93923
1739,-0.56833,44.84742
1292,9.71644,54.33328
5192,5.307,62.15112
1365,6.75813,53.56117
5482,126.48128,36.39625
3420,49.17657,11.28907
3001,142.15522,49.64326
2537,3.41074,50.75069
2161,29.09441,40.95088
3601,52.99479,27.12671
1543,-0.01734,52.96849
105,-71.048,42.3639
106,151.20771,-33.96653
1193,4.29109,51.88177
5261,17.91352,69.50799
1417,6.95776,51.50251
6524,-55.3332,49.14756
3278,2.65533,36.62731
3275,-1.16573,35.57502
3239,10.68834,33.54101
1766,2.23604,48.82389
1822,1.59381,50.72811
825,22.97753,36.33856
2313,-1.8743,50.71378
1152,5.265,52.68611
3822,148.25177,-20.02392
6400,-123.32721,49.37987
2280,-4.48478,55.92983
921,5.9573,51.66891
6057,-85.022,45.2155
2102,28.04263,36.6863
2110,26.07524,39.83481
1572,-3.31052,56.03572
2910,27.97931,45.26579
1448,8.49646,53.34177
1262,7.99636,52.39901
2558,12.56199,52.42425
5378,11.78627,57.64814
5898,17.12402,48.13782
5121,6.4494,62.60801
2583,10.48288,52.31595
66,22.8092,37.9637
6055,-71.18525,41.70813
2815,14.99483,44.08348
971,4.77564,51.58899
5602,-23.19111,65.52881
5593,-14.009,64.78779
1368,7.56962,48.03322
5311,22.28918,70.59237
5310,5.9044,59.08972
5243,9.67182,63.68624
1406,8.79303,53.07943
